,Method,AVG prob,STD prob,AVG Sample size,Execution Time
0,Elimination Method,0.3108623365107515,,,0.6193718910217285
1,Sampling With Rejection,0.30756762024694706,0.06432294850282379,47.41999999999999,176.17318987846375
2,Weighted Likelihood,0.31477685644447045,0.06625011498903029,60.0000000000001,141.66167879104614
3,Gibbs Sampling,0.31992145354236673,0.07510536701477435,100.0,1197.7850406169891
